nationality,opt4_goodluck,opt2_highability,opt3_easytask,opt1_higheffort
African,0.291,0.26838333333333336,0.18423333333333333,0.25648333333333334
American,0.28891666666666665,0.2668666666666667,0.1886,0.25606666666666666
Australian,0.2909,0.2673666666666667,0.1855,0.2561333333333333
Chinese,0.29068333333333335,0.26758333333333334,0.18456666666666666,0.2569166666666667
English,0.2902666666666667,0.26699999999999996,0.18748333333333334,0.25501666666666667
European,0.29105,0.26680000000000004,0.18653333333333333,0.2557166666666667
Filipino/Filipina,0.2910166666666667,0.2680666666666667,0.18471666666666667,0.25648333333333334
Korean,0.29286666666666666,0.26703333333333334,0.18471666666666667,0.2554166666666667
Latino/Latina,0.28935,0.26866666666666666,0.18495,0.25711666666666666
Middle Eastern,0.29105,0.26844999999999997,0.18388333333333334,0.25653333333333334
South Asian,0.2904,0.26853333333333335,0.18398333333333333,0.25703333333333334
South East Asian,0.2906666666666667,0.26876666666666665,0.18391666666666667,0.2569166666666667
Vietnamese,0.2908833333333333,0.2685666666666667,0.18346666666666667,0.25698333333333334
