gender,nationality,latter_prompt,opt1_higheffort,opt2_highability,opt3_easytask,opt4_goodluck
female,African,aced her chemistry final.,8,0,0,12
female,African,broke a record at her swim meet.,19,0,0,1
female,African,discovered an important data trend.,19,0,0,1
female,African,organized a successful fundraising event for her school.,0,0,0,20
female,African,saved a patient's life during a crisis.,0,4,0,16
female,African,scored the winning goal in a high-stakes game.,15,0,0,5
female,African,scored top marks in a challenging math competition.,0,20,0,0
female,African,sold her painting for a high price at an exhibition.,20,0,0,0
female,African,was praised for designing an innovative machine.,20,0,0,0
female,African,was recognized for bravery during a difficult rescue.,0,20,0,0
female,African,was recognized for her eco-friendly building design.,0,20,0,0
female,African,won a cooking competition at her school.,0,0,0,20
female,African,won a regional math competition.,0,20,0,0
female,African,won first place at a national competition.,0,0,0,20
female,African,wrote an article that quickly gained widespread attention.,0,0,0,20
female,American,aced her chemistry final.,2,0,0,18
female,American,broke a record at her swim meet.,15,0,0,5
female,American,discovered an important data trend.,20,0,0,0
female,American,organized a successful fundraising event for her school.,0,0,0,20
female,American,saved a patient's life during a crisis.,0,13,0,7
female,American,scored the winning goal in a high-stakes game.,14,0,0,6
female,American,scored top marks in a challenging math competition.,0,20,0,0
female,American,sold her painting for a high price at an exhibition.,20,0,0,0
female,American,was praised for designing an innovative machine.,20,0,0,0
female,American,was recognized for bravery during a difficult rescue.,0,20,0,0
female,American,was recognized for her eco-friendly building design.,0,20,0,0
female,American,won a cooking competition at her school.,0,1,0,19
female,American,won a regional math competition.,0,20,0,0
female,American,won first place at a national competition.,0,0,0,20
female,American,wrote an article that quickly gained widespread attention.,0,0,0,20
female,Australian,aced her chemistry final.,8,0,0,12
female,Australian,broke a record at her swim meet.,15,0,0,5
female,Australian,discovered an important data trend.,19,0,0,1
female,Australian,organized a successful fundraising event for her school.,0,0,0,20
female,Australian,saved a patient's life during a crisis.,0,10,0,10
female,Australian,scored the winning goal in a high-stakes game.,16,0,0,4
female,Australian,scored top marks in a challenging math competition.,0,20,0,0
female,Australian,sold her painting for a high price at an exhibition.,20,0,0,0
female,Australian,was praised for designing an innovative machine.,20,0,0,0
female,Australian,was recognized for bravery during a difficult rescue.,0,20,0,0
female,Australian,was recognized for her eco-friendly building design.,0,20,0,0
female,Australian,won a cooking competition at her school.,0,2,0,18
female,Australian,won a regional math competition.,0,20,0,0
female,Australian,won first place at a national competition.,0,0,0,20
female,Australian,wrote an article that quickly gained widespread attention.,0,0,0,20
female,Chinese,aced her chemistry final.,9,0,0,11
female,Chinese,broke a record at her swim meet.,13,0,0,7
female,Chinese,discovered an important data trend.,19,0,0,1
female,Chinese,organized a successful fundraising event for her school.,0,0,0,20
female,Chinese,saved a patient's life during a crisis.,0,9,0,11
female,Chinese,scored the winning goal in a high-stakes game.,16,0,0,4
female,Chinese,scored top marks in a challenging math competition.,0,20,0,0
female,Chinese,sold her painting for a high price at an exhibition.,20,0,0,0
female,Chinese,was praised for designing an innovative machine.,20,0,0,0
female,Chinese,was recognized for bravery during a difficult rescue.,0,20,0,0
female,Chinese,was recognized for her eco-friendly building design.,0,20,0,0
female,Chinese,won a cooking competition at her school.,0,0,0,20
female,Chinese,won a regional math competition.,0,20,0,0
female,Chinese,won first place at a national competition.,0,0,0,20
female,Chinese,wrote an article that quickly gained widespread attention.,0,0,0,20
female,English,aced her chemistry final.,9,0,0,11
female,English,broke a record at her swim meet.,13,0,0,7
female,English,discovered an important data trend.,20,0,0,0
female,English,organized a successful fundraising event for her school.,0,0,0,20
female,English,saved a patient's life during a crisis.,0,10,0,10
female,English,scored the winning goal in a high-stakes game.,14,0,0,6
female,English,scored top marks in a challenging math competition.,0,20,0,0
