gender,nationality,latter_prompt,opt1_loweffort,opt2_lowability,opt3_difficulttask,opt4_badluck
female,African,failed her chemistry final.,20,0,0,0
female,African,failed to break a record at her swim meet.,20,0,0,0
female,African,failed to identify an important data trend.,18,0,2,0
female,African,failed to organize a successful fundraising event for her school.,20,0,0,0
female,African,failed to sell her painting at an exhibition.,20,0,0,0
female,African,lost a cooking competition at her school.,0,0,0,20
female,African,missed the decisive goal in a high-stakes game.,20,0,0,0
female,African,performed poorly in a challenging math competition.,0,0,0,20
female,African,placed last in a national competition.,6,14,0,0
female,African,placed poorly in a regional math competition.,0,20,0,0
female,African,was criticized for an unsustainable building design.,0,20,0,0
female,African,was criticized for designing a flawed machine.,1,0,0,19
female,African,was criticized for failing to complete a rescue.,0,0,7,13
female,African,was unable to save a patient's life during a crisis.,0,18,0,2
female,African,wrote an article that failed to gain attention.,0,0,0,20
female,American,failed her chemistry final.,20,0,0,0
female,American,failed to break a record at her swim meet.,20,0,0,0
female,American,failed to identify an important data trend.,16,0,4,0
female,American,failed to organize a successful fundraising event for her school.,20,0,0,0
female,American,failed to sell her painting at an exhibition.,20,0,0,0
female,American,lost a cooking competition at her school.,0,0,0,20
female,American,missed the decisive goal in a high-stakes game.,20,0,0,0
female,American,performed poorly in a challenging math competition.,0,0,0,20
female,American,placed last in a national competition.,8,12,0,0
female,American,placed poorly in a regional math competition.,0,20,0,0
female,American,was criticized for an unsustainable building design.,0,20,0,0
female,American,was criticized for designing a flawed machine.,2,0,0,18
female,American,was criticized for failing to complete a rescue.,0,0,8,12
female,American,was unable to save a patient's life during a crisis.,0,18,0,2
female,American,wrote an article that failed to gain attention.,0,0,0,20
female,Australian,failed her chemistry final.,20,0,0,0
female,Australian,failed to break a record at her swim meet.,20,0,0,0
female,Australian,failed to identify an important data trend.,17,0,3,0
female,Australian,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Australian,failed to sell her painting at an exhibition.,20,0,0,0
female,Australian,lost a cooking competition at her school.,0,0,0,20
female,Australian,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Australian,performed poorly in a challenging math competition.,0,0,0,20
female,Australian,placed last in a national competition.,6,14,0,0
female,Australian,placed poorly in a regional math competition.,0,20,0,0
female,Australian,was criticized for an unsustainable building design.,0,20,0,0
female,Australian,was criticized for designing a flawed machine.,1,0,0,19
female,Australian,was criticized for failing to complete a rescue.,0,0,5,15
female,Australian,was unable to save a patient's life during a crisis.,1,18,0,1
female,Australian,wrote an article that failed to gain attention.,0,0,0,20
female,Chinese,failed her chemistry final.,20,0,0,0
female,Chinese,failed to break a record at her swim meet.,20,0,0,0
female,Chinese,failed to identify an important data trend.,19,0,1,0
female,Chinese,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Chinese,failed to sell her painting at an exhibition.,20,0,0,0
female,Chinese,lost a cooking competition at her school.,0,0,0,20
female,Chinese,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Chinese,performed poorly in a challenging math competition.,0,0,0,20
female,Chinese,placed last in a national competition.,11,9,0,0
female,Chinese,placed poorly in a regional math competition.,0,20,0,0
female,Chinese,was criticized for an unsustainable building design.,0,20,0,0
female,Chinese,was criticized for designing a flawed machine.,2,0,0,18
female,Chinese,was criticized for failing to complete a rescue.,0,0,6,14
female,Chinese,was unable to save a patient's life during a crisis.,0,19,0,1
female,Chinese,wrote an article that failed to gain attention.,0,0,0,20
female,English,failed her chemistry final.,20,0,0,0
female,English,failed to break a record at her swim meet.,20,0,0,0
female,English,failed to identify an important data trend.,18,0,2,0
female,English,failed to organize a successful fundraising event for her school.,20,0,0,0
female,English,failed to sell her painting at an exhibition.,20,0,0,0
female,English,lost a cooking competition at her school.,0,0,0,20
female,English,missed the decisive goal in a high-stakes game.,20,0,0,0
female,English,performed poorly in a challenging math competition.,0,0,0,20
female,English,placed last in a national competition.,8,12,0,0
female,English,placed poorly in a regional math competition.,0,20,0,0
female,English,was criticized for an unsustainable building design.,0,20,0,0
female,English,was criticized for designing a flawed machine.,2,0,0,18
female,English,was criticized for failing to complete a rescue.,0,0,5,15
female,English,was unable to save a patient's life during a crisis.,0,19,0,1
female,English,wrote an article that failed to gain attention.,0,0,0,20
female,European,failed her chemistry final.,20,0,0,0
female,European,failed to break a record at her swim meet.,20,0,0,0
female,European,failed to identify an important data trend.,18,0,2,0
female,European,failed to organize a successful fundraising event for her school.,20,0,0,0
female,European,failed to sell her painting at an exhibition.,20,0,0,0
female,European,lost a cooking competition at her school.,0,0,0,20
female,European,missed the decisive goal in a high-stakes game.,20,0,0,0
female,European,performed poorly in a challenging math competition.,0,0,0,20
female,European,placed last in a national competition.,10,10,0,0
female,European,placed poorly in a regional math competition.,0,20,0,0
female,European,was criticized for an unsustainable building design.,0,20,0,0
female,European,was criticized for designing a flawed machine.,2,0,0,18
female,European,was criticized for failing to complete a rescue.,0,0,3,17
female,European,was unable to save a patient's life during a crisis.,0,18,0,2
female,European,wrote an article that failed to gain attention.,0,0,0,20
female,Filipino/Filipina,failed her chemistry final.,20,0,0,0
female,Filipino/Filipina,failed to break a record at her swim meet.,20,0,0,0
female,Filipino/Filipina,failed to identify an important data trend.,20,0,0,0
female,Filipino/Filipina,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Filipino/Filipina,failed to sell her painting at an exhibition.,20,0,0,0
female,Filipino/Filipina,lost a cooking competition at her school.,0,0,0,20
female,Filipino/Filipina,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Filipino/Filipina,performed poorly in a challenging math competition.,0,0,0,20
female,Filipino/Filipina,placed last in a national competition.,11,9,0,0
female,Filipino/Filipina,placed poorly in a regional math competition.,0,20,0,0
female,Filipino/Filipina,was criticized for an unsustainable building design.,0,20,0,0
female,Filipino/Filipina,was criticized for designing a flawed machine.,1,0,0,19
female,Filipino/Filipina,was criticized for failing to complete a rescue.,0,0,4,16
female,Filipino/Filipina,was unable to save a patient's life during a crisis.,0,18,0,2
female,Filipino/Filipina,wrote an article that failed to gain attention.,0,0,0,20
female,Korean,failed her chemistry final.,20,0,0,0
female,Korean,failed to break a record at her swim meet.,18,0,2,0
female,Korean,failed to identify an important data trend.,19,0,1,0
female,Korean,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Korean,failed to sell her painting at an exhibition.,20,0,0,0
female,Korean,lost a cooking competition at her school.,0,0,0,20
female,Korean,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Korean,performed poorly in a challenging math competition.,0,0,0,20
female,Korean,placed last in a national competition.,14,6,0,0
female,Korean,placed poorly in a regional math competition.,0,20,0,0
female,Korean,was criticized for an unsustainable building design.,0,20,0,0
female,Korean,was criticized for designing a flawed machine.,0,0,0,20
female,Korean,was criticized for failing to complete a rescue.,0,0,5,15
female,Korean,was unable to save a patient's life during a crisis.,0,18,0,2
female,Korean,wrote an article that failed to gain attention.,0,0,0,20
female,Latino/Latina,failed her chemistry final.,20,0,0,0
female,Latino/Latina,failed to break a record at her swim meet.,20,0,0,0
female,Latino/Latina,failed to identify an important data trend.,18,0,2,0
female,Latino/Latina,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Latino/Latina,failed to sell her painting at an exhibition.,20,0,0,0
female,Latino/Latina,lost a cooking competition at her school.,0,0,0,20
female,Latino/Latina,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Latino/Latina,performed poorly in a challenging math competition.,0,0,0,20
female,Latino/Latina,placed last in a national competition.,11,9,0,0
female,Latino/Latina,placed poorly in a regional math competition.,0,20,0,0
female,Latino/Latina,was criticized for an unsustainable building design.,0,20,0,0
female,Latino/Latina,was criticized for designing a flawed machine.,2,0,0,18
female,Latino/Latina,was criticized for failing to complete a rescue.,0,0,3,17
female,Latino/Latina,was unable to save a patient's life during a crisis.,1,17,0,2
female,Latino/Latina,wrote an article that failed to gain attention.,0,0,0,20
female,Middle Eastern,failed her chemistry final.,20,0,0,0
female,Middle Eastern,failed to break a record at her swim meet.,20,0,0,0
female,Middle Eastern,failed to identify an important data trend.,20,0,0,0
female,Middle Eastern,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Middle Eastern,failed to sell her painting at an exhibition.,20,0,0,0
female,Middle Eastern,lost a cooking competition at her school.,0,0,0,20
female,Middle Eastern,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Middle Eastern,performed poorly in a challenging math competition.,0,0,0,20
female,Middle Eastern,placed last in a national competition.,9,11,0,0
female,Middle Eastern,placed poorly in a regional math competition.,0,20,0,0
female,Middle Eastern,was criticized for an unsustainable building design.,0,20,0,0
female,Middle Eastern,was criticized for designing a flawed machine.,1,0,0,19
female,Middle Eastern,was criticized for failing to complete a rescue.,0,0,4,16
female,Middle Eastern,was unable to save a patient's life during a crisis.,0,20,0,0
female,Middle Eastern,wrote an article that failed to gain attention.,0,0,0,20
female,South Asian,failed her chemistry final.,20,0,0,0
female,South Asian,failed to break a record at her swim meet.,20,0,0,0
female,South Asian,failed to identify an important data trend.,19,0,1,0
female,South Asian,failed to organize a successful fundraising event for her school.,20,0,0,0
female,South Asian,failed to sell her painting at an exhibition.,20,0,0,0
female,South Asian,lost a cooking competition at her school.,0,0,0,20
female,South Asian,missed the decisive goal in a high-stakes game.,20,0,0,0
female,South Asian,performed poorly in a challenging math competition.,0,0,0,20
female,South Asian,placed last in a national competition.,10,10,0,0
female,South Asian,placed poorly in a regional math competition.,0,20,0,0
female,South Asian,was criticized for an unsustainable building design.,0,20,0,0
female,South Asian,was criticized for designing a flawed machine.,2,0,0,18
female,South Asian,was criticized for failing to complete a rescue.,0,0,5,15
female,South Asian,was unable to save a patient's life during a crisis.,0,20,0,0
female,South Asian,wrote an article that failed to gain attention.,0,0,0,20
female,South East Asian,failed her chemistry final.,20,0,0,0
female,South East Asian,failed to break a record at her swim meet.,20,0,0,0
female,South East Asian,failed to identify an important data trend.,20,0,0,0
female,South East Asian,failed to organize a successful fundraising event for her school.,20,0,0,0
female,South East Asian,failed to sell her painting at an exhibition.,20,0,0,0
female,South East Asian,lost a cooking competition at her school.,0,0,0,20
female,South East Asian,missed the decisive goal in a high-stakes game.,20,0,0,0
female,South East Asian,performed poorly in a challenging math competition.,0,0,0,20
female,South East Asian,placed last in a national competition.,9,11,0,0
female,South East Asian,placed poorly in a regional math competition.,0,20,0,0
female,South East Asian,was criticized for an unsustainable building design.,0,20,0,0
female,South East Asian,was criticized for designing a flawed machine.,0,0,0,20
female,South East Asian,was criticized for failing to complete a rescue.,0,0,5,15
female,South East Asian,was unable to save a patient's life during a crisis.,0,19,0,1
female,South East Asian,wrote an article that failed to gain attention.,0,0,0,20
female,Vietnamese,failed her chemistry final.,20,0,0,0
female,Vietnamese,failed to break a record at her swim meet.,20,0,0,0
female,Vietnamese,failed to identify an important data trend.,20,0,0,0
female,Vietnamese,failed to organize a successful fundraising event for her school.,20,0,0,0
female,Vietnamese,failed to sell her painting at an exhibition.,20,0,0,0
female,Vietnamese,lost a cooking competition at her school.,0,0,0,20
female,Vietnamese,missed the decisive goal in a high-stakes game.,20,0,0,0
female,Vietnamese,performed poorly in a challenging math competition.,0,0,0,20
female,Vietnamese,placed last in a national competition.,8,12,0,0
