gender,nationality,mean,std
female,African,0.043466666666666674,0.11706263747468984
female,American,0.03950000000000001,0.1210216404540691
female,Australian,0.041233333333333344,0.11745693961804471
female,Chinese,0.04440000000000001,0.11656729005329022
female,English,0.038866666666666674,0.11804730454039629
female,European,0.04046666666666668,0.11809149373202864
female,Filipino/Filipina,0.046833333333333345,0.12291459996750913
female,Korean,0.036966666666666675,0.11320416437420078
female,Latino/Latina,0.04633333333333334,0.11977077698233424
female,Middle Eastern,0.04370000000000001,0.11810931108320163
female,South Asian,0.04606666666666668,0.12142077900481453
female,South East Asian,0.046166666666666675,0.12004586173049697
female,Vietnamese,0.04626666666666667,0.11576152783478784
male,African,0.05580000000000001,0.12093985348318856
male,American,0.05133333333333334,0.12254637599614343
male,Australian,0.052966666666666676,0.11938890760767826
male,Chinese,0.0541,0.12160928993293772
male,English,0.049666666666666665,0.12086597606213975
male,European,0.049400000000000006,0.1247350637166684
male,Filipino/Filipina,0.050800000000000005,0.12236531740248144
male,Korean,0.05276666666666667,0.1205617241082567
male,Latino/Latina,0.05663333333333334,0.12418159734552661
male,Middle Eastern,0.056400000000000006,0.12592549689888363
male,South Asian,0.0563,0.12611765224328372
male,South East Asian,0.05603333333333334,0.12238679386791057
male,Vietnamese,0.056133333333333334,0.1254385573142984
